Chunk,Index
"Article 127

Exposures 127

Exposures in default

1.

The unsecured part of any item where the obligor has

defaulted in accordance with Article 178, or in the case of

retail exposures, the unsecured part of any credit facility

which has defaulted in accordance with Article 178 shall be

assigned a risk weight of:

(a) 150 %, where specific credit risk adjustments are less than

20 % of the unsecured part of the exposure value if these

specific credit risk adjustments were not applied;

(b) 100 %, where specific credit risk adjustments are no less

than 20 % of the unsecured part of the exposure value if

these specific credit risk adjustments were not applied.

2.

For the purpose of determining the secured part of the

past due item, eligible collateral and guarantees shall be those

eligible for credit risk mitigation purposes under Chapter 4.

3.

The exposure value remaining after specific credit risk

adjustments of exposures fully and completely secured by

mortgages

on

residential

property

in

accordance

with",1
"Article 125 125 shall be assigned a risk weight of 100 % if a

default has occurred in accordance with Article 178.

4.

The exposure value remaining after specific credit risk

adjustments of exposures fully and completely secured by

mortgages on commercial immovable property in accordance

with Article 126 shall be assigned a risk weight of 100 % if a

default has occurred in accordance with Article 178.",2
"Article 501

Capital

requirements

deduction

for

credit

risk

on

exposures 501

Capital

requirements

deduction

for

credit

risk

on

exposures to SMEs

1.

Capital requirements for credit risk on exposures to SMEs

shall be multiplied by the factor 0,7619.

2.

For the purpose of this Article:

(a) the exposure shall be included either in the retail or in the

corporates or secured by mortgages on immovable property

classes. Exposures in default shall be excluded;

(b) an SME is defined in accordance with Commission Recom­

mendation 2003/361/EC of 6 May 2003 concerning the

definition of micro, small and medium-sized enterprises ( 1 ).

Among the criteria listed in Article 2 of the Annex to that

Recommendation only the annual turnover shall be taken

into account;

(c) the total amount owed to the institution and parent under­

takings and its subsidiaries, including any exposure in

default, by the obligor client or group of connected

clients, but excluding claims or contingent claims secured

on residential property collateral, shall not, to the

knowledge of the institution, exceed EUR 1,5 million. The

institution shall take reasonable steps to acquire this

knowledge.

3.

Institutions shall report to competent authorities every

three months on the total amount of exposures to SMEs

calculated in accordance with paragraph 2.

4.

The Commission shall by 2 January 2017, report on the

impact of the own funds requirements laid down in this Regu­

lation on lending to SMEs and natural persons and shall submit

that report to the European Parliament and to the Council,

together with a legislative proposal if appropriate.

5.

For the purpose of paragraph 4, EBA shall report the

following to the Commission:

(a) analysis of the evolution of the lending trends and

conditions for SMEs over the period referred to in

paragraph 4;

(b) analysis of effective riskiness of Union SMEs over a full

economic cycle;

(c) the consistency of own funds requirements laid down in

this Regulation for credit risk on exposures to SMEs with

the outcomes of the analysis under points (a) and (b).

TITLE II

REPORTS AND REVIEWS",3
"Article 502

Cyclicality 502

Cyclicality of capital requirements

The Commission, in cooperation with EBA, ESRB and the

Member States, and taking into account the opinion of the

ECB, shall periodically monitor whether this Regulation taken

as a whole, together with Directive 2013/36/EU has significant

effects on the economic cycle and, in the light of that examin­

ation, shall consider whether any remedial measures are

justified. By 31 December 2013, EBA shall report to the

Commission if and how methodologies of institutions under

the IRB Approach should converge with a view to more

comparable capital requirements while mitigating pro-cyclicality.

Based on that analysis and taking into account the opinion of

the ECB, the Commission shall draw up a biennial report and

submit it to the European Parliament and to the Council,

together with any appropriate proposals. Contributions from

credit taking and credit lending parties shall be adequately

acknowledged when the report is drawn up.

By 31 December 2014 the Commission shall review and report

on the application of Article 33(1)(c) and shall submit that

report to the European Parliament and the Council, together

with a legislative proposal if appropriate.

With respect to the potential elimination of the Article 33(1)(c)

and its potential application at the Union level, the review shall

in particular ensure that sufficient safeguards are in place to

ensure financial stability in all Member States.",4
"Article 503

Own 503

Own funds requirements for exposures in the form of

covered bonds

1.

The Commission shall, by 31 December 2014, after

consulting EBA, report to the European Parliament and to the

Council, together with any appropriate proposals, on whether

the risk weights laid down in Article 129 and the own funds

requirements for specific risk in Article 336(3) are adequate for

all the instruments that qualify for these treatments and whether

the criteria in Article 129 are appropriate.

EN

27.6.2013

Official Journal of the European Union

L 176/285

( 1 ) OJ L 124, 20.5.2003, p. 36.

2.

The report and the proposals referred to in paragraph 1

shall have regard to:

(a) the extent to which the current regulatory capital

requirements applicable to covered bonds adequately differ­

entiate between variances in the credit quality of covered

bonds and the collateral against which they are secured,

including the extent of variations across Member States;

(b) the transparency of the covered bond market and the extent

to which this facilitates comprehensive internal analysis by

investors in respect of the credit risk of covered bonds and

the collateral against which they are secured and the asset

segregation in case of the issuer's insolvency, including the

mitigating effects of the underlying strict national legal

framework in accordance with Article 129 of this Regu­

lation and Article 52(4) of Directive 2009/65/EC on the

overall credit quality of a covered bond and its implications

on the level of transparency needed by investors; and

(c) the extent to which covered bond issuance by a credit

institution impacts on the credit risk to which other

creditors of the issuing institution are exposed.

3.

The Commission shall, by 31 December 2014, after

consulting EBA, report to the European Parliament and the

Council on whether loans secured by aircrafts (aircraft liens)

and whether residential loans secured by a guarantee, but not

secured by a registered mortgage, should under certain

conditions be considered as an eligible asset in accordance

with Article 129.

4.

The Commission shall, by 31 December 2016, review the

appropriateness of the derogation set out in Article 496 and, if

relevant, the appropriateness of extending similar treatment to

any other form of covered bond. In the light of that review, the

Commission may, if appropriate, adopt delegated acts in

accordance with Article 462 to make that derogation

permanent or make legislative proposals to extend it to other

forms of covered bonds.",5
"Article 125

Exposures 125

Exposures fully and completely secured by mortgages on

residential property

1.

Unless otherwise decided by the competent authorities in

accordance with Article 124(2), exposures fully and completely

secured by mortgages on residential property shall be treated as

follows:

(a) exposures or any part of an exposure fully and completely

secured by mortgages on residential property which is or

shall be occupied or let by the owner, or the beneficial

owner in the case of personal investment companies, shall

be assigned a risk weight of 35 %;

(b) exposures to a tenant under a property leasing transaction

concerning residential property under which the institution

is the lessor and the tenant has an option to purchase, shall

be assigned a risk weight of 35 % provided that the

exposure of the institution is fully and completely secured

by its ownership of the property.

2.

Institutions shall consider an exposure or any part of an

exposure as fully and completely secured for the purposes of

paragraph 1 only if the following conditions are met:

(a) the value of the property shall not materially depend upon

the credit quality of the borrower. Institutions may exclude

situations where purely macro-economic factors affect both

the value of the property and the performance of the

borrower from their determination of the materiality of

such dependence;

(b) the risk of the borrower shall not materially depend upon

the performance of the underlying property or project, but

on the underlying capacity of the borrower to repay the

debt from other sources, and as a consequence, the

repayment of the facility shall not materially depend on

any cash flow generated by the underlying property

serving as collateral. For those other sources, institutions

shall determine maximum loan-to-income ratios as part of

their lending policy and obtain suitable evidence of the

relevant income when granting the loan.

(c) the requirements set out in Article 208 and the valuation

rules set out in Article 229(1) are met;

(d) unless otherwise determined under Article 124(2), the part

of the loan to which the 35 % risk weight is assigned does

not exceed 80 % of the market value of the property in

question or 80 % of the mortgage lending value of the

property in question in those Member States that have

laid down rigorous criteria for the assessment of the

mortgage lending value in statutory or regulatory provi­

sions.

EN

27.6.2013

Official Journal of the European Union

L 176/81

3.

Institutions may derogate from point (b) of paragraph 2

for exposures fully and completely secured by mortgages on

residential property which is situated within the territory of a

Member State, where the competent authority of that Member

State has published evidence showing that a well-developed and

long-established residential property market is present in that

territory with loss rates which do not exceed the following

limits:

(a) losses stemming from lending collateralised by residential

property up to 80 % of the market value or 80 % of the

mortgage lending value unless otherwise decided under",6
"Article 124(2) 124(2) do not exceed 0,3 % of the outstanding

loans collateralised by residential property in any given year;

(b) overall losses stemming from lending collateralised by resi­

dential property do not exceed 0,5 % of the outstanding

loans collateralised by residential property in any given year.

4.

If either of the limits referred to in paragraph 3 is not

satisfied in a given year, the eligibility to use paragraph 3 shall

cease and the condition contained in point (b) of paragraph 2

shall apply until the conditions in paragraph 3 are satisfied in a

subsequent year.",7
"Article 148

Conditions 148

Conditions for implementing the IRB Approach across

different classes of exposure and business units

1.

Institutions

and

any

parent

undertaking

and

its

subsidiaries shall implement the IRB Approach for all exposures,

unless they have received the permission of the competent auth­

orities to permanently use the Standardised Approach in

accordance with Article 150.

Subject to the prior permission of the competent authorities,

implementation may be carried out sequentially across the

different exposure classes, referred to in Article 147, within

the same business unit, across different business units in the

same group or for the use of own estimates of LGDs or

conversion factors for the calculation of risk weights for

exposures to corporates, institutions, and central governments

and central banks.

In the case of the retail exposure class referred to in",8
"Article 147(5), 147(5), implementation may be carried out sequentially

across the categories of exposures to which the different

correlations in Article 154 correspond.

2.

Competent authorities shall determine the time period

over which an institution and any parent undertaking and its

subsidiaries shall be required to implement the IRB Approach

for all exposures. This time period shall be one that competent

authorities consider to be appropriate on the basis of the nature

and scale of the activities of the institutions, or any parent

undertaking and its subsidiaries, and the number and nature

of rating systems to be implemented.

3.

Institutions shall carry out implementation of the IRB

Approach

according

to

conditions

determined

by

the

competent authorities. The competent authority shall design

those conditions such that they ensure that the flexibility

under paragraph 1 is not used selectively for the purposes of

achieving reduced own funds requirements in respect of those

exposure classes or business units that are yet to be included in

the IRB Approach or in the use of own estimates of LGDs and

conversion factors.

4.

Institutions that have begun to use the IRB Approach only

after 1 January 2013 or have until that date been required by

the competent authorities to be able to calculate their capital

requirements using the Standardised Approach shall retain their

ability to calculate capital requirements using the Standardised

Approach for all their exposures during the implementation

period until the competent authorities notify them that they

are satisfied that the implementation of the IRB Approach

will be completed with reasonable certainty.

5.

An institution that is permitted to use the IRB Approach

for any exposure class shall use the IRB Approach for the equity

exposure class laid down in point (e) of Article 147(2), except

where that institution is permitted to apply the Standardised

Approach for equity exposures pursuant to Article 150 and

for the other non credit-obligation assets exposure class laid

down in point (g) of Article 147(2).

EN

27.6.2013

Official Journal of the European Union

L 176/93

6.

EBA shall develop draft regulatory technical standards to

specify the conditions according to which competent authorities

shall determine the appropriate nature and timing of the

sequential roll out of the IRB Approach across exposure

classes referred to in paragraph 3.

EBA shall submit those draft regulatory technical standards to

the Commission by 31 December 2014.

Power is delegated to the Commission to adopt the regulatory

technical standards referred to in the first subparagraph in

accordance with Articles 10 to 14 of Regulation (EU)

No 1093/2010.",9
"Article 149

Conditions 149

Conditions to revert to the use of less sophisticated

approaches

1.

An institution that uses the IRB Approach for a particular

exposure class or type of exposure shall not stop using that

approach and use instead the Standardised Approach for the

calculation of risk-weighted exposure amounts unless the

following conditions are met:

(a) the institution has demonstrated to the satisfaction of the

competent authority that the use of the Standardised

Approach is not proposed in order to reduce the own

funds requirement of the institution, is necessary on the

basis of nature and complexity of the institution's total

exposures of this type and would not have a material

adverse impact on the solvency of the institution or its

ability to manage risk effectively;

(b) the institution has received the prior permission of the

competent authority.

2.

Institutions which have obtained permission under",10
