Chunk,Index
"Question IDDate Date of publication

2021_5738 17/03/2023

2013_177 26/09/2014",1
"Question ID2021_5738

Status 2021_5738

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 112, 122 in conjunction with 390 (7)

Paragraph

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph not applicable

Type of submitter Credit institution

Date of submission 12/02/2021

Published as final Q&A 17/03/2023

Subject matter Determination of risk weight for a pass-through SPE exposure with

underlying assets where the transaction does not fulfil the conditions for

securitisations according to Article 4(1)(61) CRR.

Question

Should an exposure to an SPE transaction with underlying assets and a

single class of debt (pass-through structure), which does not fulfil the

criteria of Securitisation, be recognised to determine the risk weight of the

exposure by applying a look-through approach to the underlying assets as

suggested by Article 390(7) CRR regarding large exposures treatment?

Or should such exposure be treated as a (unrated) corporate exposure in

accordance with Article 122 CRR?

Background on the

A credit institution needs to determine risk weights on individual and group

question

level. Local GAAP for individual reporting may not allow a look-through for

an exposure to an SPE with underlying assets as consolidation may be

1 of 5limited to group reports always assuming the institution holds the majority of

risk and rewards.

Respectively, with regard to Part II of the CRR a pass-through exposure to an

SPE with underlying assets which does not fall under the definition of

Securitisation could be considered a corporate exposure following local

GAAP on individual basis and, as such, entirely abstract from the risk weight

of the underlying assets.

Article 5(1) CRR defines the term Exposure generically as an ""asset or off-

balance sheet item"". Regarding large exposure regulation Article 390(7) CRR

clearly stipulates a look-through for such ""other transactions where there is

an exposure to underlying assets"".

Final answer

Unless otherwise provided, Part Three (Capital requirements) and Part Four

(Large exposures) of Regulation (EU) No 575/2013 (CRR) are to be

separately applied as they refer to different types of requirements. Article

390(7) CRR is therefore not to be applied for the purposes of calculation of

the minimum capital requirements according to Part Three of the CRR.

Where the definition of a securitisation in Article 2(1) of Regulation (EU)

2017/2402 (SecReg) is not met, such exposures cannot be treated under the

securitisation framework.

For the treatment for the purpose of the calculation of the minimum capital

requirements, it should then be verified whether the exposures in question

can be considered as exposures in the form of units or shares of collective

investment undertakings (CIU). For the question whether the SPE qualifies

as a CIU or not, see Q&A 4502.

In the case the SPE were considered a CIU, it might apply the look-through

approach (in accordance with Article 132a(1)) or the mandate-based

approach (in accordance with Article 132a(2)) if the conditions set out in

Article 132(3) are met. If the look- through approach or the mandate-based

approach are not applicable, the risk weight is always 1250% (‘fall-back

approach’) according to Article 132(2) CRR or Article 152(6) CRR.

Where the SPE does not qualify as a CIU, the exposure should be assigned to

the “corporates” exposure class according to Article 112 (g) of the CRR.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2021_5738",2
"Question ID2013_177

Status 2013_177

Status Final Q&A

2 of 5Legal act Regulation (EU) No 575/2013 (CRR)

Topic Market infrastructures

Article Article 306, 107, 112 and 122

Paragraph

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph NA

Name of institution / RPS Recovery Portfolio Services Ltd.

submitter

Country of incorporation / United Kingdom

residence

Type of submitter Consultancy firm

Date of submission 22/08/2013

Published as final Q&A 26/09/2014

Subject matter Interaction between Qualified CCPs and Reporting

Question

Institutions must meet higher capital requirements as long as CCPs are not

qualified. Most of the Clearing organisations are working for many years on

the derivative market. Will EBA (or national competent authorities) create an

interim agreement for that special issue? CCPs are already supervised by

their national financial authorities.

Background on the

The Capital Requirements Regulation (CRR – EU 575/2013) differentiates

question

between ‘qualified’ and ‘non-qualified’ Central Counterparties. A ‘Qualified

Central Counterparty’ needs to be authorised by ESMA, related to article 14

of the European Market Infrastructure Regulation (EMIR – EU 648/2013) or

– in case of third-country CCPs – they will be accepted under Article 25 of

EMIR. Otherwise a Central Counterparty is a ‘non-qualified CCP’. ESMA has

informed that there is no authorised Central Counterparty in Europe, and

they do not expect authorisations until 1Q 2014. From an institution's point

of view is it very important to manage their trade exposures by ‘Qualified

CCPs’ because those circumstances have an impact on the capital

requirements of institutions. If an institution transacts a derivative by a

‘Qualified CCP’, the derivative will have a risk weight of two per cent – in

relation to Article 306 (1)(a) of CRR. Is the CCP ‘non-qualified’, the credit

risk will be calculated accordingly to Article 107 (2 b) CRR – based on Article

306 (1b) – which means: Credit Risk Standardised Approach. Based on

Article 112 (g) - which is the next step in that “waterfall-model” - the

exposure class ‘Corporates’ has to be used. The table of Article 122 shows

3 of 5the risk weights for corporates, percentages between 20 and 150, which

means normally 100 per cent. The next point is: CCPs have to be rated in

accordance with article 136 et seq. Under this article EBA, EIOPA and ESMA

have to formulate technical operating standards no later than 1st July 2014.

(But this is only a 'sideshow'.) Institutions are in a difficult situation at the

moment. Central question – two per cent or 100 per cent risk weigt for trade

exposure?

Final answer

If a central counterparty (""CCP"") has been either authorised or recognised in

accordance with Regulation (EU) No 648/2012 (EMIR), then it is a qualifying

CCP and can be treated as such for the purposes of Regulation (EU) No

575/2013 (CRR).

If a CCP has not yet been authorised or recognised in accordance with EMIR

and the grandfathering period (including any extension thereof) specified in

Article 497 of the CRR has not yet elapsed, then the CCP can be treated as a

QCCP for the purposes of the CRR.

If a CCP has not yet been authorised or recognised in accordance with EMIR

and the grandfathering period (including any extension thereof) specified in

Article 497 of the CRR has elapsed, then the CCP must be treated as a non-

qualifying CCP for the purposes of the CRR.

Please also refer to Q&A 1126 for further details.

DISCLAIMER:

This question goes beyond matters of consistent and effective application of

the regulatory framework. A Directorate General of the Commission

(Directorate General for Internal Market and Services) has prepared the

answer, albeit that only the Court of Justice of the European Union can

provide definitive interpretations of EU legislation. This is an unofficial

opinion of that Directorate General, which the European Banking Authority

publishes on its behalf. The answers are not binding on the European

Commission as an institution. You should be aware that the European

Commission could adopt a position different from the one expressed in such

Q&As, for instance in infringement proceedings or after a detailed

examination of a specific case or on the basis of any new legal or factual

elements that may have been brought to its attention.

Answer prepared by Answer prepared by the European Commission because it is a matter of

interpretation of Union law.

Note to Q&A

Update 26.03.2021: This Q&A has not yet been reviewed by the European

Commission in the light of the changes introduced to Regulation (EU) No

575/2013 (CRR).

4 of 5Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2013_177

European Banking Authority, 03/03/2025

www.eba.europa.eu

5 of 5

---- Page Break ----

Single Rulebook Q&A",3
"Question IDDate Date of publication

2020_5551 11/10/2024

2013_565 04/07/2014

2013_416 31/01/2014

2013_343 31/01/2014",4
"Question ID2020_5551

Status 2020_5551

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 501a

Paragraph

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph n/a

Type of submitter Individual

Date of submission 14/10/2020

Published as final Q&A 11/10/2024

Subject matter Unterstützungsfaktor für Infrastrukturprojekte - Supporting factor for

infrastructure projects

Question

Können sowohl der in Artikel 501 CRR genannte Faktor zur Unterstützung

von KMU als auch der in Artikel 501a CRR genannte Faktor zur

Unterstützung von Infrastruktur auf eine Risikoposition angewandt werden?

Can the supporting factor for SMEs referred to in Article 501 CRR and the

infrastructure supporting factor referred to in Article 501a CRR both be

applied to an exposure?

Background on the

Es ist gemäß den neuen Bestimmungen nicht ganz klar, ob beide

question

Unterstützungsfaktoren gleichzeitig zur Anwendung gelangen dürfen, sofern

1 of 8die entsprechenden Voraussetzungen erfüllt sind.

Gemäß Artikel 501a CRR kann eine Risikoposition mit 0,75 multipliziert

werden, wenn die Risikoposition der Risikopositionsklasse „Unternehmen“

zugeordnet werden kann und weitere Kriterien erfüllt sind. Für das Institut

stellt sich nun die Frage, ob der Faktor zur Unterstützung von KMU gemäß

Artikel 501 CRR auch dann herangezogen werden kann, wenn es sich bei

dem Kreditnehmer um ein KMU handelt.

Beispiel:

Ein KMU nimmt einen Kredit über 500.000 Euro auf, um die Infrastruktur

für E-Mobilität in der Stadt auszubauen.

RWA = 500.000 x 0,75 x 0,7619 = 285.712,50

Under the new provisions, it is not entirely clear whether, provided that the

relevant conditions are met, both supporting factors may be applied

simultaneously.

In accordance with Article 501a CRR, a risk position can be multiplied by

0.75 if the risk position can be assigned to the risk position class ""company""

and further criteria are met. The question now arises for the institution as to

whether the SME support factor in accordance with Article 501 CRR can also

be used if the borrower is an SME.

Example:

An SME takes out a loan of 500,000 euros to expand the infrastructure for e-

mobility in the city.

RWA = 500,000 x 0.75 x 0.7619 = 285,712.50

Final answer

Ja, der in Artikel 501 CRR genannte Faktor zur Unterstützung von KMU und

der in Artikel 501a CRR genannte Faktor zur Unterstützung von

Infrastruktur können gleichzeitig angewandt werden, wenn die

einschlägigen Bedingungen für beide Unterstützungsfaktoren erfüllt sind.

Für die Anwendung des Faktors zur Unterstützung von KMU wird in

Artikel 501 Absatz 2 Buchstabe b CRR der Begriff „KMU“ in

Übereinstimmung mit der Empfehlung 2003/361/EG der Kommission

definiert, diese Definition wird jedoch dadurch näher bestimmt, dass unter

den in Artikel 2 des Anhangs dieser Empfehlung aufgeführten Kriterien nur

der Jahresumsatz berücksichtigt wird.

Für die Anwendung des Unterstützungsfaktors bei Infrastrukturprojekten

verlangt Artikel 501a Absatz 1 Buchstabe b CRR neben den in all den

2 of 8anderen Punkten aufgeführten Kriterien, dass die Risikoposition gegenüber

einem Rechtsträger besteht, „der speziell zur Finanzierung oder zum Betrieb

von physischen Strukturen oder Anlagen, Systemen und Netzen, die

grundlegende öffentliche Dienste erbringen oder unterstützen, errichtet

wurde““.

IDie CRR enthält keine Anforderung, derzufolge sich die jeweiligen

Anwendungsbereiche bezüglich der sich qualifizierenden Unternehmen

gegenseitig ausschließen.

Wenn also eine Risikoposition gegenüber einem Unternehmen besteht, das

die Definition von „KMU“ gemäß Artikel 501 Absatz 2 Buchstabe b der CRR

erfüllt und gleichzeitig alle in Artikel 501a(1) und (2) aufgeführten Kriterien

erfüllt, können Institute bei der Berechnung der Kapitalanforderungen beide

Unterstützungsfaktoren nacheinander und in beliebiger Reihenfolge

anwenden.

Haftungsausschluss: Die Antworten stellen Bestimmungen klar, die

bereits in der geltenden Rechtsvorschriften enthalten sind. Sie erweitern in

keiner Weise die Rechte und Pflichten, die sich aus solchen

Rechtsvorschriften ergeben, und führen auch keine zusätzlichen

Anforderungen für die betroffenen Akteure und zuständigen Behörden ein.

Die Antworten dienen lediglich dazu, natürliche oder juristischen Personen,

einschließlich der zuständigen Behörden sowie Organe und Einrichtungen

der Union, bei der Klärung der Anwendung bzw. Umsetzung der

einschlägigen Rechtsvorschriften zu unterstützen. Für die verbindliche

Auslegung des Unionsrechts ist ausschließlich der Gerichtshof der

Europäischen Union zuständig. Die in der internen

Kommissionsentscheidung zum Ausdruck gebrachten Ansichten sind nicht

verbindlich und können möglicherweise von dem Standpunkt, den die

Europäische Kommission vor den Gerichten der Union und der

Mitgliedstaaten vertritt, abweichen.

Yes, the supporting factor for SMEs referred to in Article 501 CRR and the

infrastructure supporting factor referred to in Article 501a CRR can apply

simultaneously where the relevant conditions for both of those supporting

factors are met.

For the application of the SME supporting factor, Article 501(2), point (b)

CRR defines “SME” in accordance with Commission Recommendation

2003/361/EC, but qualifies that definition by stating that among the criteria

listed in Article 2 of the Annex to that Recommendation, only the annual

turnover shall be taken into account.

For the application of the supporting factor for infrastructure projects,

Article 501a(1), point (b) CRR, requires, among the criteria listed in all the

other points, that the exposure is to “an entity which was created specifically

3 of 8to finance or operate physical structures or facilities, systems and networks

that provide or support essential public services”.

There is nothing in the CRR that requires that the respective scopes of

qualified entities are to be mutually exclusive.

Accordingly, where an exposure is towards an entity that meets the

definition of “SME” as referred to in Article 501(2), point (b), of CRR and at

the same time complies with all the criteria listed in Article 501a, (1) and (2)

CRR, institutions can apply both supporting factors, subsequently and in a

random order, for the calculation of capital requirements.

Disclaimer: The answers clarify provisions already contained in the

applicable legislation. They do not extend in any way the rights and

obligations deriving from such legislation nor do they introduce any

additional requirements for the concerned operators and competent

authorities. The answers are merely intended to assist natural or legal

persons, including competent authorities and Union institutions and bodies

in clarifying the application or implementation of the relevant legal

provisions. Only the Court of Justice of the European Union is competent to

authoritatively interpret Union law. The views expressed in the internal

Commission Decision cannot prejudge the position that the European

Commission might take before the Union and national courts.

Answer prepared by Answer prepared by the European Commission because it is a matter of

interpretation of Union law.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2020_5551",5
"Question ID2013_565

Status 2013_565

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 501

Paragraph

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph n.a.

Name of institution / Austrian Federal Economic Chamber, Division Bank and Insurance

submitter

4 of 8Country of incorporation / Austria

residence

Type of submitter Industry association

Date of submission 27/11/2013

Published as final Q&A 04/07/2014

Subject matter Treatment of SME-supporting factor in the case of secured exposures.

Question

I. How should the SME-supporting factor be treated relating to secured

exposures? a) Including all collaterals, i.e. also for guarantees. Thus risk

weighted assets of inflow in asset class sovereigns or institutes will also be

reduced? b) Only for those collaterals which cause no risk transfer (meaning

which are intered directly in the RWA formula)? c) Only for the non-secured

part of the exposure?

II. General question when the SMR supporting factor can be used: a) To our

understanding a risk transfer is only allowed in the case that the risk

transfer is leading to a reduction of the RWA. Taking this into account it

should always be compared “the total SME exposure with the supporting

factor and without a risk transfer” to “the exposure with the SME supporting

factor (only for the non-secured part) and the risk transfer without the

supporting factor”. b) To consider the above mentioned point under II. a) it

seems that banks under the IRB-A approach are by tendency favored as

there is no risk transfer (e.g.in cases of a guarantee by a government) but

the effect of the collateral is considered in the total LGD of the exposure.

Background on the

On closer examination of CRR and Annex II Instructions (templates) some

question

questions of interpretation come up how the SME-supporting factor has to

be applied.

Final answer

Further to Q&A 257, the factor of 0,7619 defined in Article 501(1) of

Regulation (EU) No. 575/2013 (CRR) applies to the risk-weighted exposure

amounts for credit risk on non-defaulted exposures to SMEs which meet the

eligibility requirements under Article 501(2). Eligibility is based on the

nature of the counterparty and on some characteristics of the exposure (e.g.

classification according to the CRR and amount).

Accordingly, where an exposure to an SME is eligible, capital requirements

are calculated by multiplying applying the factors defined in Article 501(1) of

0,7619 by to the risk-weighted exposure value after taking into account value

adjustments and credit risk mitigation techniques permissible under Article

108 of the CRR. Pursuant to Article 501(2)(a) of the CRR, in order to meet

the eligibility requirements, the exposures shall should always be included

either in the 'retail' or in the 'corporates' or 'secured by mortgages on

immovable property' classes irrespective of whether credit risk mitigation

5 of 8techniques with substitution effects (e.g. guarantees) are reclassified for

reporting purposes to another exposure class.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Update 26.03.2021: This Q&A has not yet been reviewed by the EBA in the

light of the changes introduced to Regulation (EU) No 575/2013 (CRR).

Update 28.10.2021: This Q&A has been amended in light of the change(s) in

Article 501 to Regulation (EU) No 575/2013 (CRR), applicable from

27.06.2020.

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2013_565",6
"Question ID2013_416

Status 2013_416

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 501

Paragraph 2

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph n.a.

Type of submitter Credit institution

Date of submission 21/10/2013

Published as final Q&A 31/01/2014

Subject matter The meaning of the ""amount owed to the institution""

Question

How should institutions understand the ""amount owed to the institution""

under Article 501(2)(c)(1) in case of off-balance sheet exposures to

customers that haven’t yet been used? Is it the exposure value (as

understood in Article 111) or the nominal value of such product (for example

credit line)?

Background on the

The question focuses on off-balance sheet products like credit lines with low

question

CCFs (credit conversion factors). Depending on the amount taken into

account (nominal value or exposure) the amount owed to institution from the

customer or group of customers can change in the material way. Moreover,

6 of 8depending on the approach taken, this amount may exceed EUR 1,5m. Credit

lines are popular products for SMEs; if the amount taken into account was

nominal value and not the exposure, this regulation would have a smaller

impact on the SME sector.

Final answer

Article 501(2)(c)(1) of Regulation (EU) No. 575/2013 (CRR) refers to

amounts ""owed"" to the institution. Therefore, in the case of a line of credit,

only the drawn amount needs to be considered when checking if the EUR 1,5

million limit is complied with for the formula in the article.

Provided that all conditions of Article 501(1) and (2) of the CRR are met, the

exposure as a whole including its undrawn part can qualify as exposure to an

SME.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Update 26.03.2021: This Q&A has not yet been reviewed by the EBA in the

light of the changes introduced to Regulation (EU) No 575/2013 (CRR).

Update 28.10.2021: This Q&A has been amended in light of the change(s) in

Article 501 to Regulation (EU) No 575/2013 (CRR), applicable from

27.06.2020.

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2013_416",7
"Question ID2013_343

Status 2013_343

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 501

Paragraph 2

Subparagraph b

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Article 501

Name of institution / Building Societies Association

submitter

Country of incorporation / United Kingdon

residence

Type of submitter Industry association

7 of 8Date of submission 07/10/2013

Published as final Q&A 31/01/2014

Subject matter Definition of SME

Question

SMEs are defined by turnover alone (EUR 50 million according to OJ L 124,

20.05.2003). Our question concerns when turnover is recorded. Is it (i) at

inception of the loan or (ii) on an on-going basis? We would also like to know

what level of documentation/proof is required, if any.

Background on the

Not all of our members, particularly smaller ones, hold turnover data on

question

their systems so will have no actual ""proof"". It would be disproportionately

burdensome for them to start collecting this data, particularly if it had to be

monitored. But it would be relatively straightforward for them to determine

what percentage of their loan book would never exceed the SME turnover

threshold either at inception or during the life of the loan.

Final answer

Under Article 501(2)(b) of Regulation (EU) No. 575/2013 (CRR) an SME is

defined in accordance with Commission Recommendation 2003/361/EC of 6

May 2003 concerning the definition of micro, small and medium sized

enterprises. A deviation results only to the extent that, among the criteria

listed in Article 2 of the Annex to that Recommendation, only the annual

turnover shall be taken into account.

Since the possible relief in capital requirements under Article 501 of the

CRR is limited to exposures to SMEs, it needs to be ensured that this

privilege is not extended inappropriately. An institution therefore needs to

have adequate current information available on an on-going basis and should

be able to adequately demonstrate the fulfilment of this requirement to its

competent authorities.

Answer prepared by Answer prepared by the EBA.

Note to Q&A

Update 26.03.2021: This Q&A has not yet been reviewed by the EBA in the

light of the changes introduced to Regulation (EU) No 575/2013 (CRR).

Update 28.10.2021: This Q&A has been reviewed in the light of the changes

introduced to Regulation (EU) No 575/2013 (CRR) and continues to be

relevant.

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2013_343

European Banking Authority, 03/03/2025

www.eba.europa.eu

8 of 8

---- Page Break ----

Single Rulebook Q&A",8
"Question IDDate Date of publication

2021_5685 17/12/2021

2016_2726 17/03/2017

2015_2304 03/02/2017

2014_705 04/04/2014",9
"Question ID2021_5685

Status 2021_5685

Status Final Q&A

Legal act Regulation (EU) No 575/2013 (CRR)

Topic Credit risk

Article 125, 126, 230

Paragraph

Subparagraph

COM Delegated or Not applicable

Implementing

Acts/RTS/ITS/GLs/Recom

mendations

Article/Paragraph Not applicable

Type of submitter Credit institution

Date of submission 13/01/2021

Published as final Q&A 17/12/2021

Subject matter Calculation of the collateral value of immovable property considering

minimum level of over-collateralisation ratio

Question

Should the haircut due to minimum level of over-collateralisation be

reflected in the calculation of collateral value with or without the deducted

prior claims? Besides market value or mortgage lending value is there any

other value that could be considered for the calculation purposes?

Background on the

Standardised approach: According to Article 125 (2)(d) CRR unless

question

otherwise determined under Article 124(2), the part of the loan to which the

35 % risk weight is assigned does not exceed 80 % of the market value of the

property in question or 80 % of the mortgage lending value of the property

1 of 11(for commercial immovable property 50% risk weight applies for the part of

the loan which does not exceed 50% of the market value of the property or

60 % of the mortgage lending value applies according to Article 126 (2) (d)

CRR). F-IRB approach: Pursuant to Article 230 (2) CRR the applicable LGD*

and required collateralization levels for the secured parts of exposures are

set out in Table 5 of this paragraph (for immovable property it is 140%). This

haircut is applied to collateral where a minimum level of over-

collateralisation is required. Alternatives of the calculation logic in case of

Standardised approach and residential property as an example.

(Overcollateralization requirement is 100%/80%=125%):

1. alternative Minimum overcollateralization is applied on the market value

deducted with prior claims. Collateral allocation: Allocation Value = Market

value – prior claims RWA Engine: CRM used effective value = Allocation

Value / Minimum Overcollateralization Example: Allocation Value = 100 –

10=90 CRM used effective value = 90 / 125% = 72

2. alternative Minimum overcollateralization is applied on the market value

but not applied on the deducted prior claims. Collateral allocation: Allocation

Value = min(Market value – prior claims x Minimum Overcollateralization)

RWA Engine: CRM used effective value = Allocation Value / Minimum

Overcollateralization Example: Allocation Value = min( 100 – 10 x

125%)=87,5 CRM used effective value = 87,5 / 125% = 70

Final answer

For immovable property collateral, no value other than the market value or,

in those Member States that have laid down rigorous criteria for the

assessment of the mortgage lending value in statutory or regulatory

provisions, the mortgage lending value of the immovable property is

recognised. For determining the maximum recognised percentage under the

standardised approach or the applicable LGD* and the required

collateralisation levels for the secured parts of IRB exposures, the value to

be used is either the market value or, in those Member States that have laid

down rigorous criteria for the assessment of the mortgage lending value in

statutory or regulatory provisions, the mortgage lending value to derive in a

first step the maximum amount which may receive the privileged risk weight

dedicated to the recognition of immovable property collateral, which may, as

applicable, in a second step be reduced to take in particular account of any

prior claims on the immovable property.

1. Standardised approach (SA)

Under the SA for credit risk, the conditions in Article 124(1) for considering

an exposure or part of an exposure as fully secured by mortgages on

immovable property and in Articles 125(2) and 126(2) CRR for considering

an exposure or part of an exposure as fully and completely secured by

mortgages on residential or commercial immovable properties, respectively,

exclusively refer to (i) the market value of the immovable property or (ii) the

2 of 11mortgage lending value in those Member States that have laid down rigorous

criteria for the assessment of the mortgage lending value in statutory or

regulatory provisions. Consequently, no other value is recognised for this

purpose.

For the same purpose, the conditions in Articles 125(2)(c) and 126(2)(c) CRR

require that the valuation rules set out in Article 229(1) CRR are met, where

the last sub-paragraph requires that the market value or mortgage lending

value shall be reduced as appropriate to reflect the results of the monitoring

required under Article 208(3) CRR and to take account of any prior claims on

the immovable property.

As a consequence, for determining the part of the loan to which the risk

weight for the fully and completely secured part is assigned, the maximum

recognised percentage of the market value or mortgage lending value in

those Member States that have laid down rigorous criteria for the

assessment of the mortgage lending value in statutory or regulatory

provisions, according to Article 125(2)(d) or 126(2)(d) CRR applies to the

market value or mortgage lending value, as applicable, after being reduced,

as appropriate, to take account of any prior claims on the immovable

property or of the results of the monitoring required under Article 208(3)

CRR.

Therefore, only the calculation provided as alternative 2 in the background

on the question leads to the correct result.

2. IRB Approach

Under the IRB Approach, for the purpose of recognising immovable property

collateral in accordance with Article 199(1)(a) CRR, the criteria in Article

230 CRR for determining the applicable LGD* and the required

collateralisation levels for the secured parts of exposures refer to the value

of the collateral.

For this purpose, Article 229(1) CRR requires the value of the collateral to be

the market value or or mortgage lending value, similarly to how this is

specified in the SA.

Also in line with the SA, the last sub-paragraph of Article 229(1) CRR

requires that the market value or mortgage lending value shall be reduced

as appropriate to reflect the results of the monitoring required under Article

208(3) CRR and to take account of any prior claims on the immovable

property.

As a consequence, for determining the applicable LGD* and the required

collateralisation levels for the secured parts of exposures, the value of

collateral to be used for this purpose is the market value or mortgage

lending value, as applicable, after being reduced, as appropriate, to take in

particular account of any prior claims on the immovable property.

3 of 11Answer prepared by Answer prepared by the EBA.

Note to Q&A

Link https://www.eba.europa.eu/single-rule-book-qa/qna/view/publicId/2021_5685",10
