Section,Row,Index
0010,"1.	Own funds
Point (118) of Article 4(1) and Article 72 CRR
The own funds of an institution shall consist of the sum of its Tier 1 capital and Tier 2 capital.",1
0015,"1.1	Tier 1 capital
Article 25 CRR
The Tier 1 capital is the sum of Common Equity Tier 1 Capital and Additional Tier 1 capital",2
0020,"1.1.1	Common Equity Tier 1 capital
Article 50 CRR",3
0030,"1.1.1.1	Capital instruments eligible as CET1 capital
Points (a) and (b) of Articles 26(1), Articles 27 to 30, point (f) of Article 36(1) and Article 42 CRR",4
0040,"1.1.1.1.1	Fully paid up capital instruments
Point (a) of Article 26(1) and Articles 27 to 31 CRR
Capital instruments of mutual, cooperative societies or similar institutions (Articles 27 and 29 CRR) shall be included.
The share premium related to the instruments shall not be included.
Capital instruments subscribed by public authorities in emergency situations shall be included if all conditions of Article 31 CRR are fulfilled.",5
0045,"1.1.1.1.1*	Of which: Capital instruments subscribed by public authorities in emergency situations
Article 31 CRR
Capital instruments subscribed by public authorities in emergency situations shall be included in CET1 capital if all conditions of Article 31 CRR are fulfilled.",6
0050,"1.1.1.1.2*	Memorandum item: Capital instruments not eligible
Points (b), (l) and (m) of Article 28(1) CRR
Conditions in those points reflect different situations of the capital which are reversible, and thus the amount reported here can be eligible in subsequent periods.
The amount to be reported shall not include the share premium related to the instruments",7
0060,"1.1.1.1.3	Share premium
Point (124) of Article 4(1), point (b) of Article 26(1) CRR
Share premium has the same meaning as under the applicable accounting standard. 
The amount to be reported in this item shall be the part related to the ""Fully paid up capital instruments"".",8
0070,"1.1.1.1.4	(-) Own CET1 instruments
Point (f) of Article 36(1) and Article 42 CRR
Own CET1 held by the reporting institution or group at the reporting date. Subject to exceptions in Article 42 CRR.
Holdings on shares included as ""Capital instruments not eligible"" shall not be reported in this row.
The amount to be reported shall include the share premium related to the own shares.
Items 1.1.1.1.4 to 1.1.1.1.4.3 do not include actual or contingent obligations to purchase own CET1 instruments. Actual or contingent obligations to purchase own CET1 instruments are reported separately in item 1.1.1.1.5.",9
0080,"1.1.1.1.4.1	(-) Direct holdings of CET1 instruments
Point (f) of Article 36(1) and Article 42 CRR
Common Equity Tier 1 instruments included in item 1.1.1.1 held by institutions of the consolidated group. 
The amount to be reported shall include holdings in the trading book calculated on the basis of the net long position, as stated in point (a) of Article 42 CRR.",10
0090,"1.1.1.1.4.2	(-) Indirect holdings of CET1 instruments
Point (114) of Article 4(1), point (f) of Article 36(1) and Article 42 CRR",11
0091,"1.1.1.1.4.3	(-) Synthetic holdings of CET1 instruments
Point (126) of Article 4(1), point (f) of Article 36(1) and Article 42 CRR",12
0092,"1.1.1.1.5	(-) Actual or contingent obligations to purchase own CET1 instruments
Point (f) of Article 36(1) and Article 42 CRR
According to point (f) of Article 36(1) CRR, “own Common Equity Tier 1 instruments that an institution is under an actual or contingent obligation to purchase by virtue of an existing contractual obligation” shall be deducted.",13
0130,"1.1.1.2	Retained earnings
Point (c) of Article 26(1) and Article 26(2) CRR
Retained earnings includes the previous year retained earnings plus the eligible interim or year-end profits",14
0140,"1.1.1.2.1	Previous years retained earnings
Point (123) of Article 4(1) and point (c) of Article 26(1) CRR
Point (123) of Article 4(1) CRR defines retained earnings as ""Profit and losses brought forward as a result of the final application of profit or loss under the applicable accounting framework"".",15
0150,"1.1.1.2.2	Profit or loss eligible
Point (121) of Article 4(1), Article 26(2) and point (a) of Article 36(1) CRR
Article 26(2) CRR allows including as retained earnings interim or year-end profits, with the prior consent of the competent authorities, if some conditions are met. 
On the other hand, losses shall be deducted from CET1, as stated in point (a) of Article 36(1) CRR.",16
0160,"1.1.1.2.2.1	Profit or loss attributable to owners of the parent
Article 26(2) and point (a) of Article 36(1) CRR
The amount to be reported shall be the profit or loss reported in the accounting income statement.",17
0170,"1.1.1.2.2.2	(-) Part of interim or year-end profit not eligible
Article 26(2) CRR
This row shall not present any figure if, for the reference period, the institution has reported losses, because the losses shall be completely deducted from CET1.
If the institution reports profits, the part, which is not eligible according to Article 26(2) CRR (i.e. profits not audited and foreseeable charges or dividends), shall be reported.
Note that, in case of profits, the amount to be deduced shall be, at least, the interim dividends.",18
0180,"1.1.1.3	Accumulated other comprehensive income
Point (100) of Article 4(1) and point (d) of Article 26(1) CRR
The amount to be reported shall be net of any tax charge foreseeable at the moment of the calculation, and prior to the application of prudential filters. The amount to be reported shall be determined in accordance with Article 13(4) of Commission Delegated Regulation (EU) No 241/2014.",19
0200,"1.1.1.4	Other reserves
Point (117) of Article 4(1) and point (e) of Article 26(1) CRR
Other reserves are defined in CRR as ""Reserves within the meaning of the applicable accounting framework that are required to be disclosed under that applicable accounting standard, excluding any amounts already included in accumulated other comprehensive income or retained earnings"".
The amount to be reported shall be net of any tax charge foreseeable at the moment of the calculation.",20
0210,"1.1.1.5	Funds for general banking risk
Point (112) of Article 4(1) and point (f) of Article 26(1) CRR
Funds for general banking risk are defined in Article 38 BAD as ""Amounts which a credit institution decides to put aside to cover such risks where that is required by the particular risks associated with banking"".
The amount to be reported shall be net of any tax charge foreseeable at the moment of the calculation.",21
0220,"1.1.1.6	Transitional adjustments due to grandfathered CET1 Capital instruments
Paragraphs 1, 2 and 3 of Article 483 and Articles 484 to 487 CRR
Amount of capital instruments transitionally grandfathered as CET1. The amount to be reported is directly obtained from CA5.",22
0230,"1.1.1.7	Minority interest given recognition in CET1 capital
Point (120) of Article 4(1) and Article 84 CRR
Sum of all the amounts of minority interests of subsidiaries that is included in consolidated CET1.",23
0240,"1.1.1.8	Transitional adjustments due to additional minority interests
Articles 479 and 480 CRR
Adjustments to the minority interests due to transitional provisions. This item is obtained directly from CA5.",24
0250,"1.1.1.9	Adjustments to CET1 due to prudential filters
Articles 32 to 35 CRR",25
0260,"1.1.1.9.1	(-) Increases in equity resulting from securitised assets
Article 32(1) CRR
The amount to be reported is the increase in the equity of the institution resulting from securitised assets, in accordance with the applicable accounting standard.
For example, this item includes the future margin income that results in a gain on sale for the institution, or, for originators, the net gains that arise from the capitalisation of future income from the securitised assets that provide credit enhancement to positions in the securitisation.",26
0270,"1.1.1.9.2	Cash flow hedge reserve
Point (a) of Article 33(1) CRR
The amount to be reported can be positive or negative. It shall be positive if cash flow hedges result in a loss (i.e. if it reduces accounting equity) and vice versa. Thus, the sign shall be contrary to the one used in accounting statements.
The amount shall be net of any tax charge to be expected at the moment of the calculation.",27
0280,"1.1.1.9.3	Cumulative gains and losses due to changes in own credit risk on fair valued liabilities
Point (b) of Article 33(1) CRR
The amount to be reported can be positive or negative. It shall be positive if there is a loss due to changes in own credit risk (i.e. if it reduces accounting equity) and vice versa. Thus, the sign shall be contrary to the one used in accounting statements.
Unaudited profit shall not be included in this item.",28
0285,"1.1.1.9.4	Fair value gains and losses arising from the institution´s own credit risk related to derivative liabilities
Point (c) of Article 33(1) and Article 33(2) CRR
The amount to be reported can be positive or negative. It shall be positive if there is a loss due to changes in own credit risk and vice versa. Thus, the sign shall be contrary to the one used in accounting statements.
Unaudited profit shall not be included in this item.",29
0290,"1.1.1.9.5	(-) Value adjustments due to the requirements for prudent valuation
Articles 34 and 105 CRR
Adjustments to the fair value of exposures included in the trading book or non-trading book due to stricter standards for prudent valuation set in Article 105 CRR",30
0300,"1.1.1.10	(-) Goodwill
Point (113) of Article 4(1), point (b) of Article 36(1) and Article 37 CRR",31
0310,"1.1.1.10.1	(-) Goodwill accounted for as intangible asset
Point (113) of Article 4(1) and point (b) of Article 36(1) CRR
Goodwill has the same meaning as under the applicable accounting standard.
The amount to be reported here shall be the same as the amount that is reported in the balance sheet.",32
0320,"1.1.1.10.2	(-) Goodwill included in the valuation of significant investments
Point (b) of Article 37 and Article 43 CRR",33
0330,"1.1.1.10.3	Deferred tax liabilities associated to goodwill
Point (a) of Article 37 CRR
Amount of deferred tax liabilities that would be extinguished if the goodwill became impaired or was derecognised under the relevant accounting standard.",34
0335,"1.1.1.10.4	Accounting revaluation of subsidiaries’ goodwill derived from the consolidation of subsidiaries attributable to third persons
Point (c) of Article 37 CRR
The amount of the accounting revaluation of the subsidiaries' goodwill derived from the consolidation of subsidiaries attributable to persons other than the undertakings included in the consolidation pursuant to Chapter 2 of Title II of Part One.",35
0340,"1.1.1.11	(-) Other intangible assets
Point (115) of Article 4(1), point (b) of Article 36(1) and point (a) and (c) of Article 37 CRR
Other intangible assets are the intangibles assets under the applicable accounting standard, minus the goodwill, also according to the applicable accounting standard.",36
0350,"1.1.1.11.1	(-) Other intangible assets before deduction of deferred tax liabilities
Point (115) of Article 4(1) and point (b) of Article 36(1) CRR
Other intangible assets are the intangibles assets under the applicable accounting standard, minus the goodwill, also according to the applicable accounting standard.
The amount to be reported here shall correspond to the amount reported in the balance sheet of intangible assets, other than goodwill.",37
0360,"1.1.1.11.2	Deferred tax liabilities associated to other intangible assets
Point (a) of Article 37 CRR
Amount of deferred tax liabilities that would be extinguished if the intangibles assets, other than goodwill, became impaired or was derecognised under the relevant accounting standard.",38
0365,"1.1.1.11.3	Accounting revaluation of subsidiaries’ other intangible assets derived from the consolidation of subsidiaries attributable to third persons
Point (c) of Article 37 CRR
The amount of the accounting revaluation of the subsidiaries' intangibles assets other than goodwill derived from the consolidation of subsidiaries attributable to persons other than the undertakings included in the consolidation pursuant to Chapter 2 of Title II of Part One.",39
0370,"1.1.1.12	(-) Deferred tax assets that rely on future profitability and do not arise from temporary differences net of associated tax liabilities
Point (c) of Article 36(1) and Article 38 CRR",40
