Chunk,Chunk Content,Index
Article1,"1 Subject Matter

Chapter 2 of the Liquidity Coverage Ratio (CRR) Part of the PRA

Rulebook lays down rules to specify in detail the liquidity coverage

requirement provided for in Article 412(1) of CRR.

01/01/2022

01/01/2022

01/01/2022

[Note: This rule corresponds to Article 1 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury.]",1
Article2,"2 Scope and Application

[Note: Provision left blank]

[Note: Provision left blank]

Where a CRR consolidation entity is required to comply with Chapter 2

the basis of its consolidated situation all the following provisions shallapply:

(a) third country assets held by a subsidiary undertaking in a third

country may be recognised as liquid assets for consolidation

purposes where they qualify as liquid assets under that third

country's national law setting out the liquidity coverage requirement

and they satisfy one of the following conditions:

(i) the assets meet all the requirements laid down in Title Il (The

Liquidity Buffer);

all the other requirements laid down therein.

The assets recognisable by virtue of point (ii) may only be recognised up

to the amount of the stressed net liquidity outflows incurred in the

particular currency in which they are denominated and arising from

that same subsidiary undertaking;

are subject under the national law of that third country setting out the

liquidity coverage requirement to higher percentages than those

specified in Title Ill (Liquidity outflows and inflows shall be subject

to consolidation in accordance with the higher rates specified in the

national law of the third country;

01/01/2022

(c) liquidity inflows in a subsidiary undertaking in a third country which

are subject under the national law of that third country setting out the

liquidity coverage requirement to lower percentages than those

specified in Title Ill (Liquidity outflows and inflows shall be subject

to consolidation in accordance with the lower rates specified in the

national law of the third country;

(d) investment firms within the group shall be subject to Article 4 of this

relation to the definition of liquid assets, liquidity outflows and inflows

for both individual and consolidated purposes. Other than as

specified in this point, investment firms shall remain subject to the

detailed liquidity coverage ratio requirement for investment firms as

laid down in the Liquidity Coverage Requirement - UK Designated

(e) at a consolidated level the amount of inflows arising from a

specialised credit institution referred to in Article 33 paragraphs (3)

and (4) shall only be recognised up to the amount of the outflows

arising from the same undertaking.[Note: This rule corresponds to Article 2 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury.]",2
Article3,"3 Definitions

For the purposes of Chapter 2 of the Liquidity Coverage Ratio (CRR)

O

=

rj

¢

£.

g

<

low

5

o

ae

3

®

®

a

a

=

a>

®

o

3

3

e

a

2

°

Q

=

=

a

»

n

a

©

@

ia

=

a

D

a

»

°

g

©2.

=

R

=

oO

3

°

RS

Ss

io}

i?)

&

3

3

<

3

oO

og

a

on

a

>

oO

[?)

c

3

oO

Po}

(9)

<

=.

=

S.

[e}

=a

=

>

oO

=

=

a

EE:<

=

oO

3

on

01/01/2022

(5) ‘asset coverage requirement means the ratio of assets to liabilities

as determined for credit enhancement purposes in relation to

covered bonds by the national law of the United Kingdom or a third

country;

(7) 'net liquidity outflows' means the amount which results from

deducting a credit institution's liquidity inflows from its liquidity

outflows in accordance with Title III (Liquidity outflows and

inflows)

part of the Financial Services Compensation Scheme established

under section 213 of FSMA;

a trust whose owner or beneficial owner, respectively, is a natural

person or a group of closely related natural persons, which was set

up with the sole purpose of managing the wealth of the owners and

which does not carry out any other commercial, industrial or

professional activity. The purpose of the PIC may include other

ancillary activities such as segregating the owners' assets from

corporate assets, facilitating the transmission of assets within a

family or preventing a split of the assets after the death of a member

of the family, provided these are connected to the main purpose of

managing the owners' wealth;

(11) 'stress' (or 'stressed') means a sudden or severe deterioration in

the solvency or liquidity position of a credit institution due to changes

in market conditions or idiosyncratic factors as a result of which there

is a significant risk that the credit institution becomes unable to meet

its commitments as they fall due within the next 30 calendar days;

(12) 'margin loans' means collateralised loans extended to customers

for the purpose of taking leveraged trading positions.

(13) [Note: Provision left blank]

(14) [Note: Provision left blank]

(15) [Note: Provision left blank]

(16) [

16) [Note: Provision left blank][Note: This rule corresponds to Article 3 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury.]

01/01/2022

01/01/2022

01/01/2022

01/01/2022",3
Article4,"4 The Liquidity Coverage Ratio

The detailed liquidity coverage requirement in accordance with Article

and shall be expressed as a percentage. Credit institutions shall

calculate their liquidity coverage ratio in accordance with the following

formula:

Liquidity Buffer

Net Liquidity Outflows over a 30 calendar day stress period

= Liquidity Coverage Ratio (%)

Credit institutions shall maintain a liquidity coverage ratio of at least

100%.

By derogation from paragr | 2, credit institutions may monetise their

liquid assets to cover their net liquidity outflows during stress periods,

even if such a use of liquid assets may result in their liquidity coverage

ratio falling below 100% during such periods.

Where at any time the liquidity coverage ratio of a credit institution has

fallen or can be reasonably expected to fall below 100%, the requirement

laid down in Arti 14 of CRR shall apply. Until the liquidity coverage

ratio has been restored to the level referred to in paragraph 2, the credit

Credit institutions shall calculate and monitor their liquidity coverage ratio

in the reporting currency for all items, irrespective of their actual

currency denomination.

01/01/2022

01/01/2022In addition, credit institutions shall separately calculate and monitor their

liquidity coverage ratio for certain items as follows:

(a) for items that are subject to separate reporting in a currency other

than the reporting currency in accordance with Article 415(2) of

liquidity coverage ratio in that other currency;

(b) for items denominated in the reporting currency where the

aggregate amount of liabilities denominated in currencies other than

the reporting currency equals or exceeds 5% of the credit

institution's total liabilities, excluding regulatory capital and off-

balance-sheet items, credit institutions shall separately calculate and

monitor their liquidity coverage ratio in the reporting currency

coverage ratio in accordance with Reporting ('

Rulebook.

Credit institutions shall not double-count liquid assets, inflows and

outflows.

[Note: The rule corresponds to Article 4 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",4
Article5,"5 Stress Scenarios for the Purposes of the

Liquidity Coverage Ratio

Credit institutions may regard the following scenarios as indicators of

circumstances in which they may be considered as being subject to

(b) a partial or total loss of unsecured wholesale funding capacity,

including wholesale deposits and other sources of contingent funding

such as received committed or uncommitted liquidity or credit lines;

(c) a partial or total loss of secured, short-term funding;

(d) additional liquidity outflows as a result of a credit rating downgrade of

up to three notches;

01/01/2022

01/01/2022

01/01/2022

(e) increased market volatility affecting the value of collateral or its quality

or creating additional collateral needs;(f) unscheduled draws on liquidity and credit facilities;

(g) potential obligation to buy-back debt or to honour non-contractual

obligations.

[Note: This rule corresponds to Article 5 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

Title Il The Liquidity Buffer

Chapter 1 General Provisions",5
Article6,"6 Composition of the Liquidity Buffer

In order to be eligible to form part of a credit institution's liquidity buffer,

the liquid assets shall comply with each of the following requirements:

(a) the general requirements laid down in Article 7;

[Note: The rule corresponds to Article 6 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",6
Article7,"7 General Requirements for Liquid Assets

In order to qualify as liquid assets, the assets of a credit institution shall

The assets shall be a property, right, entitlement, or interest, that is held

by the credit institution, or included in a pool as referred to in point (a),

and is free from any encumbrance. For those purposes, an asset shall be

deemed to be unencumbered where it is not subject to any legal,

contractual, regulatory or other restriction preventing the credit institution

01/01/2022

01/01/2022

from liquidating, selling, transferring, assigning or, generally, disposing of

the asset via an outright sale or a repurchase agreement within the

following 30 calendar days. The following assets shall be deemed to be

unencumbered:

(a) assets included in a pool which are available for immediate use as

collateral to obtain additional funding under committed but not yet

funded credit lines available to the credit institution or, if the pool is

operated by a central bank, under uncommitted and not yet funded

credit lines available to the credit institution. Credit institutions shall

assume that assets in the pool are encumbered in order of increasing

liquidity on the basis of the liquidity classification set out in 1 Chapter 2(b) assets that the credit institution has received as collateral for credit

risk mitigation purposes in reverse repo or securities financing

transactions and that the credit institution may dispose of.

The assets shall not have been issued by the credit institution itself, its

parent undertaking, other than a public sector entity that is not a credit

institution, its subsidiary or another subsidiary of its parent undertaking or

by a securitisation special purpose entity with which the credit institution

has close links.

The assets shall not have been issued by any of the following:

(a) another credit institution, unless one or more of the following

conditions is met:

(i) the issuer is a public sector entity referred to in point (c) of Article

10(1) or in point (a) or (b) of Article 11(1);

01/01/2022

01/01/2022

01/01/2022

b) an investment firm;

c) an insurance undertaking;

d) a reinsurance undertaking;

e) a financial holding company;

f) a mixed financial holding company;

g) any other entity that performs one or more of the Annex 1 activities as

its main business. For the purposes of this Article, SSPEs shall be

deemed not included within the entities referred to in this point.

The value of the assets shall be capable of being determined on the

basis of widely disseminated and easily available market prices. In the

absence of market-based prices, the value of the assets must be capable

of being determined on the basis of an easy-to-calculate formula that

uses publicly available inputs and is not significantly dependent upon

strong assumptions.

The assets shall be listed on a recognised exchange or tradable via

active outright sale or via simple repurchase transaction on generally

accepted repurchase markets. These criteria shall be assessed

separately for each market. An asset admitted to trading in an organisedvenue which is not a recognised exchange, either in the United

trading venue provides for an active and sizable market for outright sales

of assets. The credit institution shall take into account the following as

minimum criteria to assess whether a trading venue provides for an

active and sizeable market for the purposes of this paragraph:

(a) historical evidence of market breadth and depth as proven by low bid-

ask spreads, high trading volume and a large and diverse number of

market participants;

(b) the presence of a robust market infrastructure.

01/01/2022

01/01/2022

(a) banknotes and coins referred to in point (a) of Article 10(1);

(aa) the exposures to central governments referred to in point (d) of",7
"Article10(1);

(b)","10(1);

(b) the exposures to central banks referred to in points (b) and (d) of",8
Article10(1),"10(1) and in point (b) of Article 11(1);

(c) the restricted-use committed liquidity facility referred to in point (d) of",9
"Article12(1).

[Note:","12(1).

[Note: This rule corresponds to Article 7 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",10
